GEO_ID,BachDegrees,TotalPop,CountyName,NormBach
17031221000,545.00,2254.00, Cook County,24.17923691
17031221100,1326.00,4015.00, Cook County,33.02615193
17031221200,1017.00,2650.00, Cook County,38.37735849
17031221300,859.00,2575.00, Cook County,33.3592233
17031221400,1043.00,2528.00, Cook County,41.25791139
17031221500,817.00,2354.00, Cook County,34.7068819
17031221600,1164.00,2611.00, Cook County,44.58062045
17031222200,831.00,1833.00, Cook County,45.33551555
17031222500,432.00,1348.00, Cook County,32.04747774
17031222600,627.00,1338.00, Cook County,46.86098655
17031222700,424.00,1723.00, Cook County,24.60824144
17031222800,199.00,758.00, Cook County,26.25329815
17031222900,85.00,846.00, Cook County,10.04728132
17031230100,485.00,1451.00, Cook County,33.42522398
17031230200,301.00,1633.00, Cook County,18.43233313
17031230300,66.00,686.00, Cook County,9.620991254
17031230400,199.00,1708.00, Cook County,11.65105386
17031230500,207.00,2212.00, Cook County,9.358047016
17031230600,388.00,4830.00, Cook County,8.033126294
17031230700,335.00,4324.00, Cook County,7.747456059
17031230800,78.00,825.00, Cook County,9.454545455
17031230900,748.00,3669.00, Cook County,20.38702644
17031231100,76.00,996.00, Cook County,7.630522088
17031231200,408.00,4596.00, Cook County,8.877284595
17031231500,310.00,4440.00, Cook County,6.981981982
17031240200,670.00,1464.00, Cook County,45.76502732
17031240300,532.00,1063.00, Cook County,50.04703669
17031240500,1203.00,2110.00, Cook County,57.01421801
17031240600,462.00,1326.00, Cook County,34.84162896
17031240700,576.00,1473.00, Cook County,39.10386965
17031240800,392.00,1098.00, Cook County,35.70127505
17031240900,350.00,834.00, Cook County,41.96642686
17031241000,605.00,1685.00, Cook County,35.90504451
17031241100,1215.00,2970.00, Cook County,40.90909091
17031241200,773.00,1620.00, Cook County,47.71604938
17031241300,781.00,1663.00, Cook County,46.9633193
17031241400,2605.00,4893.00, Cook County,53.23932148
17031241500,1483.00,2573.00, Cook County,57.63699961
17031241600,1688.00,3125.00, Cook County,54.016
17031242000,2299.00,4468.00, Cook County,51.45478962
17031242100,1817.00,3429.00, Cook County,52.98920968
17031242200,1655.00,3253.00, Cook County,50.87611436
17031242300,1402.00,2898.00, Cook County,48.37819186
17031242400,1128.00,2697.00, Cook County,41.82424917
17031242500,1228.00,2870.00, Cook County,42.78745645
17031242600,1701.00,4384.00, Cook County,38.80018248
17031242700,533.00,1435.00, Cook County,37.14285714
17031242800,452.00,1347.00, Cook County,33.55605048
17031242900,616.00,1538.00, Cook County,40.0520156
17031243000,666.00,1906.00, Cook County,34.94228751
17031243100,653.00,1856.00, Cook County,35.18318966
17031243200,790.00,1856.00, Cook County,42.56465517
17031243300,917.00,2054.00, Cook County,44.64459591
17031243400,956.00,2494.00, Cook County,38.33199679
17031243500,1691.00,3545.00, Cook County,47.70098731
17031250200,234.00,2188.00, Cook County,10.69469835
17031250300,392.00,3602.00, Cook County,10.88284287
17031250400,466.00,4360.00, Cook County,10.68807339
17031250500,1421.00,5787.00, Cook County,24.55503715
17031250600,261.00,3297.00, Cook County,7.916287534
17031250700,301.00,4439.00, Cook County,6.780806488
17031250800,130.00,2015.00, Cook County,6.451612903
17031251000,21.00,708.00, Cook County,2.966101695
17031251100,170.00,3529.00, Cook County,4.817228677
17031251200,154.00,3694.00, Cook County,4.168922577
17031251300,180.00,3012.00, Cook County,5.976095618
17031251400,270.00,3198.00, Cook County,8.442776735
17031251500,273.00,3299.00, Cook County,8.27523492
17031251600,142.00,2730.00, Cook County,5.201465201
17031251700,75.00,1030.00, Cook County,7.281553398
17031251800,196.00,3694.00, Cook County,5.305901462
17031251900,189.00,3470.00, Cook County,5.446685879
17031252000,264.00,3898.00, Cook County,6.772703951
17031252101,104.00,1093.00, Cook County,9.515096066
17031252102,279.00,4377.00, Cook County,6.374228924
17031252201,182.00,2207.00, Cook County,8.246488446
17031252202,185.00,3362.00, Cook County,5.502676978
17031260100,81.00,974.00, Cook County,8.316221766
17031260200,33.00,646.00, Cook County,5.108359133
17031260300,46.00,1216.00, Cook County,3.782894737
17031260400,28.00,920.00, Cook County,3.043478261
17031260500,24.00,1232.00, Cook County,1.948051948
17031260600,83.00,1442.00, Cook County,5.755894591
17031260700,49.00,1266.00, Cook County,3.870458136
17031260800,34.00,1688.00, Cook County,2.014218009
17031260900,98.00,1049.00, Cook County,9.342230696
17031261000,55.00,1746.00, Cook County,3.150057274
17031270500,120.00,958.00, Cook County,12.52609603
17031271200,155.00,981.00, Cook County,15.80020387
17031271300,54.00,722.00, Cook County,7.479224377
17031271400,141.00,884.00, Cook County,15.95022624
17031271500,105.00,1073.00, Cook County,9.785647717
17031271800,0.00,319.00, Cook County,0
17031280100,2873.00,6395.00, Cook County,44.92572322
17031280400,100.00,983.00, Cook County,10.17293998
17031280800,160.00,715.00, Cook County,22.37762238
17031280900,144.00,571.00, Cook County,25.21891419
17031281900,2745.00,5924.00, Cook County,46.3369345
17031282700,412.00,1573.00, Cook County,26.19198983
17031282800,453.00,1302.00, Cook County,34.79262673
17031283100,841.00,2577.00, Cook County,32.63484672
17031283200,410.00,1302.00, Cook County,31.49001536
17031283800,1036.00,2772.00, Cook County,37.37373737
17031290900,65.00,2626.00, Cook County,2.475247525
17031291200,120.00,1348.00, Cook County,8.902077151
17031291600,95.00,697.00, Cook County,13.62984218
17031292200,124.00,1950.00, Cook County,6.358974359
17031292400,145.00,1837.00, Cook County,7.8933043
17031292500,487.00,2756.00, Cook County,17.67053701
17031300500,322.00,2255.00, Cook County,14.27937916
17031300600,137.00,2087.00, Cook County,6.564446574
17031300700,288.00,3446.00, Cook County,8.357515961
17031300800,126.00,2537.00, Cook County,4.966495861
17031300900,191.00,3276.00, Cook County,5.83028083
17031301100,108.00,1541.00, Cook County,7.00843608
17031301200,263.00,3312.00, Cook County,7.940821256
17031301600,262.00,2769.00, Cook County,9.461899603
17031301701,142.00,3158.00, Cook County,4.496516783
17031301702,142.00,2714.00, Cook County,5.232129698
17031301801,292.00,3137.00, Cook County,9.308256296
17031301802,183.00,1936.00, Cook County,9.452479339
17031301803,289.00,2618.00, Cook County,11.03896104
17031310200,545.00,1381.00, Cook County,39.46415641
17031310300,300.00,1514.00, Cook County,19.81505945
17031310400,324.00,891.00, Cook County,36.36363636
17031310500,153.00,1149.00, Cook County,13.31592689
17031310600,1262.00,4060.00, Cook County,31.08374384
17031310700,275.00,1221.00, Cook County,22.52252252
17031310800,995.00,3593.00, Cook County,27.69273588
17031310900,840.00,3844.00, Cook County,21.85223725
17031320101,2371.00,8145.00, Cook County,29.10988336
17031320102,2175.00,4243.00, Cook County,51.26090031
17031320400,542.00,3020.00, Cook County,17.94701987
17031320600,1911.00,4758.00, Cook County,40.16393443
17031330101,903.00,4806.00, Cook County,18.78901373
17031330102,3307.00,8572.00, Cook County,38.57909473
